"","Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Species.Comments","Checklist.Comments","Location"
"20","S42081035","Black Swan","Cygnus atratus",329,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"01-20-2018","08:50 AM","eBird - Traveling Count",120,1,3,NA,3,"","","Covered most of the park, including some of Kensington Ponds.",""
"21","S47598669","Black Swan","Cygnus atratus",329,"30","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"22","S47656790","Black Swan","Cygnus atratus",329,"15","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"23","S47913102","Black Swan","Cygnus atratus",329,"8","AU-NSW","Randwick",-33.8977058,151.2341452,"08-18-2018","10:32 AM","eBird - Traveling Count",124,1,4.75,NA,2,"","","",""
"24","S48037565","Black Swan","Cygnus atratus",329,"7","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"25","S48304612","Black Swan","Cygnus atratus",329,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"26","S48360609","Black Swan","Cygnus atratus",329,"6","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"27","S48451818","Black Swan","Cygnus atratus",329,"10","AU-NSW","Randwick",-33.8977058,151.2341452,"09-12-2018","04:46 PM","eBird - Traveling Count",60,1,3,NA,2,"","","",""
"28","S48772483","Black Swan","Cygnus atratus",329,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-27-2018","04:46 PM","eBird - Traveling Count",70,1,2.5,NA,2,"","","",""
"29","S48789620","Black Swan","Cygnus atratus",329,"25","AU-NSW","Randwick",-33.8977058,151.2341452,"09-28-2018","07:47 AM","eBird - Traveling Count",75,1,3.2,NA,1,"","","",""
"30","S48854501","Black Swan","Cygnus atratus",329,"10","AU-NSW","Randwick",-33.8977058,151.2341452,"10-01-2018","09:38 AM","eBird - Traveling Count",102,1,5.38,NA,2,"","","",""
"31","S48873741","Black Swan","Cygnus atratus",329,"1","AU-NSW","Randwick",-33.8977058,151.2341452,"10-02-2018","06:34 AM","eBird - Traveling Count",137,1,6.64,NA,1,"","","",""
"32","S47592755","Black Swan","Cygnus atratus",329,"10","AU-NSW","Randwick",-33.9032981,151.2276435,"08-02-2018","07:34 AM","eBird - Traveling Count",59,1,2.25,NA,1,"","","",""
"33","S47749968","Maned Duck","Chenonetta jubata",395,"1","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"34","S41761602","Maned Duck","Chenonetta jubata",395,"X","AU-NSW","Cooma-Monaro",-36.2351791,149.1259718,"01-08-2018","12:00 PM","eBird Random Location Count",300,0,450,NA,3,"","","Driving from Sydney to Thredbo",""
"35","S47656790","Maned Duck","Chenonetta jubata",395,"3","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"36","S47592755","Maned Duck","Chenonetta jubata",395,"25","AU-NSW","Randwick",-33.9032981,151.2276435,"08-02-2018","07:34 AM","eBird - Traveling Count",59,1,2.25,NA,1,"","","",""
"37","S41923241","Maned Duck","Chenonetta jubata",395,"X","AU-NSW","Snowy River",-36.50501,148.30601,"01-12-2018","08:00 AM","eBird - Traveling Count",480,0,350,NA,3,"","","Driving from Thredbo to Wingello",""
"38","S48642686","Maned Duck","Chenonetta jubata",395,"3","AU-NSW","Sutherland Shire",-34.08179,151.05447,"09-20-2018","10:59 AM","eBird - Traveling Count",35,1,0.483,NA,3,"","","",""
"39","S47511326","Maned Duck","Chenonetta jubata",395,"4","AU-NSW","Sydney",-33.8672433,151.217737,"07-29-2018","01:52 PM","eBird - Traveling Count",54,1,2.74,NA,1,"","","",""
"40","S42718633","Gadwall","Mareca strepera",431,"2","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"41","S42718633","Eurasian Wigeon","Mareca penelope",436,"30","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"42","S43151896","Pacific Black Duck","Anas superciliosa",452,"15","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
"43","S43923623","Pacific Black Duck","Anas superciliosa",452,"11","AU-NSW","Botany Bay",-33.9378058,151.2056923,"03-25-2018","07:11 AM","eBird - Traveling Count",111,1,1.13,NA,2,"","","",""
"44","S47471078","Pacific Black Duck","Anas superciliosa",452,"10","AU-NSW","Botany Bay",-33.9378058,151.2056923,"07-27-2018","07:42 AM","eBird - Traveling Count",85,1,0.8,NA,2,"","","",""
"45","S47611818","Pacific Black Duck","Anas superciliosa",452,"8","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"46","S47749968","Pacific Black Duck","Anas superciliosa",452,"9","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"47","S47792959","Pacific Black Duck","Anas superciliosa",452,"11","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"48","S48893823","Pacific Black Duck","Anas superciliosa",452,"12","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"49","S41761602","Pacific Black Duck","Anas superciliosa",452,"X","AU-NSW","Cooma-Monaro",-36.2351791,149.1259718,"01-08-2018","12:00 PM","eBird Random Location Count",300,0,450,NA,3,"","","Driving from Sydney to Thredbo",""
"50","S39222536","Pacific Black Duck","Anas superciliosa",452,"2","AU-NSW","Ku-ring-gai",-33.6608649,151.1608099,"09-17-2017","10:35 AM","eBird - Traveling Count",331,1,13.25,NA,4,"","","",""
"51","S48661450","Pacific Black Duck","Anas superciliosa",452,"2","AU-NSW","Randwick",-33.9062686,151.2220493,"09-22-2018","04:34 PM","eBird - Stationary Count",18,1,NA,NA,1,"","","",""
"52","S42081035","Pacific Black Duck","Anas superciliosa",452,"30","AU-NSW","Randwick",-33.8977058,151.2341452,"01-20-2018","08:50 AM","eBird - Traveling Count",120,1,3,NA,3,"","","Covered most of the park, including some of Kensington Ponds.",""
"53","S47598669","Pacific Black Duck","Anas superciliosa",452,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"54","S47656790","Pacific Black Duck","Anas superciliosa",452,"50","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"55","S47913102","Pacific Black Duck","Anas superciliosa",452,"13","AU-NSW","Randwick",-33.8977058,151.2341452,"08-18-2018","10:32 AM","eBird - Traveling Count",124,1,4.75,NA,2,"","","",""
"56","S48037565","Pacific Black Duck","Anas superciliosa",452,"35","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"57","S48304612","Pacific Black Duck","Anas superciliosa",452,"50","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"58","S48360609","Pacific Black Duck","Anas superciliosa",452,"45","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"59","S48451818","Pacific Black Duck","Anas superciliosa",452,"30","AU-NSW","Randwick",-33.8977058,151.2341452,"09-12-2018","04:46 PM","eBird - Traveling Count",60,1,3,NA,2,"","","",""
"60","S48772483","Pacific Black Duck","Anas superciliosa",452,"10","AU-NSW","Randwick",-33.8977058,151.2341452,"09-27-2018","04:46 PM","eBird - Traveling Count",70,1,2.5,NA,2,"","","",""
"61","S48789620","Pacific Black Duck","Anas superciliosa",452,"30","AU-NSW","Randwick",-33.8977058,151.2341452,"09-28-2018","07:47 AM","eBird - Traveling Count",75,1,3.2,NA,1,"","","",""
"62","S48854501","Pacific Black Duck","Anas superciliosa",452,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"10-01-2018","09:38 AM","eBird - Traveling Count",102,1,5.38,NA,2,"","","",""
"63","S48873741","Pacific Black Duck","Anas superciliosa",452,"55","AU-NSW","Randwick",-33.8977058,151.2341452,"10-02-2018","06:34 AM","eBird - Traveling Count",137,1,6.64,NA,1,"","","",""
"64","S47592755","Pacific Black Duck","Anas superciliosa",452,"30","AU-NSW","Randwick",-33.9032981,151.2276435,"08-02-2018","07:34 AM","eBird - Traveling Count",59,1,2.25,NA,1,"","","",""
"65","S48642686","Pacific Black Duck","Anas superciliosa",452,"4","AU-NSW","Sutherland Shire",-34.08179,151.05447,"09-20-2018","10:59 AM","eBird - Traveling Count",35,1,0.483,NA,3,"","","",""
"66","S42718633","Eastern Spot-billed Duck","Anas zonorhyncha",462,"4","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"67","S42718633","Mallard","Anas platyrhynchos",464,"2","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"68","S48037565","Mallard (Domestic type)","Anas platyrhynchos (Domestic type)",467,"1","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"69","S48304612","Mallard (Domestic type)","Anas platyrhynchos (Domestic type)",467,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"70","S48360609","Mallard (Domestic type)","Anas platyrhynchos (Domestic type)",467,"6","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"71","S42718633","Northern Pintail","Anas acuta",502,"2","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"72","S42718633","Green-winged Teal","Anas crecca",517,"2","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"73","S43151896","Gray Teal","Anas gracilis",539,"6","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
"74","S43923623","Gray Teal","Anas gracilis",539,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"03-25-2018","07:11 AM","eBird - Traveling Count",111,1,1.13,NA,2,"","","",""
"75","S47471078","Gray Teal","Anas gracilis",539,"3","AU-NSW","Botany Bay",-33.9378058,151.2056923,"07-27-2018","07:42 AM","eBird - Traveling Count",85,1,0.8,NA,2,"","","",""
"76","S47611818","Gray Teal","Anas gracilis",539,"7","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"77","S47749968","Gray Teal","Anas gracilis",539,"3","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"78","S47792959","Gray Teal","Anas gracilis",539,"6","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"79","S48893823","Gray Teal","Anas gracilis",539,"7","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"80","S42081035","Gray Teal","Anas gracilis",539,"3","AU-NSW","Randwick",-33.8977058,151.2341452,"01-20-2018","08:50 AM","eBird - Traveling Count",120,1,3,NA,3,"","","Covered most of the park, including some of Kensington Ponds.",""
"81","S47598669","Gray Teal","Anas gracilis",539,"1","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"82","S47656790","Gray Teal","Anas gracilis",539,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"83","S48037565","Gray Teal","Anas gracilis",539,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"84","S48304612","Gray Teal","Anas gracilis",539,"6","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"85","S48360609","Gray Teal","Anas gracilis",539,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"86","S48789620","Gray Teal","Anas gracilis",539,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-28-2018","07:47 AM","eBird - Traveling Count",75,1,3.2,NA,1,"","","",""
"87","S48642686","Gray Teal","Anas gracilis",539,"1","AU-NSW","Sutherland Shire",-34.08179,151.05447,"09-20-2018","10:59 AM","eBird - Traveling Count",35,1,0.483,NA,3,"","","",""
"88","S43151896","Chestnut Teal","Anas castanea",543,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
"89","S43923623","Chestnut Teal","Anas castanea",543,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"03-25-2018","07:11 AM","eBird - Traveling Count",111,1,1.13,NA,2,"","","",""
"90","S47471078","Chestnut Teal","Anas castanea",543,"1","AU-NSW","Botany Bay",-33.9378058,151.2056923,"07-27-2018","07:42 AM","eBird - Traveling Count",85,1,0.8,NA,2,"","","",""
"91","S47611818","Chestnut Teal","Anas castanea",543,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"92","S47749968","Chestnut Teal","Anas castanea",543,"4","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"93","S47792959","Chestnut Teal","Anas castanea",543,"3","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"94","S48893823","Chestnut Teal","Anas castanea",543,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"95","S48854501","Chestnut Teal","Anas castanea",543,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"10-01-2018","09:38 AM","eBird - Traveling Count",102,1,5.38,NA,2,"","","",""
"96","S47611818","Pink-eared Duck","Malacorhynchus membranaceus",554,"7","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"97","S47749968","Pink-eared Duck","Malacorhynchus membranaceus",554,"5","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"98","S47792959","Pink-eared Duck","Malacorhynchus membranaceus",554,"5","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"99","S47598669","Pink-eared Duck","Malacorhynchus membranaceus",554,"8","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"100","S47656790","Pink-eared Duck","Malacorhynchus membranaceus",554,"4","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"101","S48037565","Pink-eared Duck","Malacorhynchus membranaceus",554,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"102","S48304612","Pink-eared Duck","Malacorhynchus membranaceus",554,"15","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"103","S48360609","Pink-eared Duck","Malacorhynchus membranaceus",554,"14","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"104","S48451818","Pink-eared Duck","Malacorhynchus membranaceus",554,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"09-12-2018","04:46 PM","eBird - Traveling Count",60,1,3,NA,2,"","","",""
"105","S48873741","Pink-eared Duck","Malacorhynchus membranaceus",554,"4","AU-NSW","Randwick",-33.8977058,151.2341452,"10-02-2018","06:34 AM","eBird - Traveling Count",137,1,6.64,NA,1,"","","",""
"106","S47592755","Pink-eared Duck","Malacorhynchus membranaceus",554,"2","AU-NSW","Randwick",-33.9032981,151.2276435,"08-02-2018","07:34 AM","eBird - Traveling Count",59,1,2.25,NA,1,"","","",""
"107","S43151896","Hardhead","Aythya australis",578,"1","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
"108","S47471078","Hardhead","Aythya australis",578,"1","AU-NSW","Botany Bay",-33.9378058,151.2056923,"07-27-2018","07:42 AM","eBird - Traveling Count",85,1,0.8,NA,2,"","","",""
"109","S47611818","Hardhead","Aythya australis",578,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"110","S47749968","Hardhead","Aythya australis",578,"9","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"111","S47792959","Hardhead","Aythya australis",578,"5","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"112","S48893823","Hardhead","Aythya australis",578,"11","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"113","S48119702","Hardhead","Aythya australis",578,"1","AU-NSW","Randwick",-33.9062686,151.2220493,"08-28-2018","11:17 AM","eBird - Traveling Count",12,1,0.93,NA,1,"","","",""
"114","S42081035","Hardhead","Aythya australis",578,"60","AU-NSW","Randwick",-33.8977058,151.2341452,"01-20-2018","08:50 AM","eBird - Traveling Count",120,1,3,NA,3,"","","Covered most of the park, including some of Kensington Ponds.",""
"115","S47598669","Hardhead","Aythya australis",578,"40","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"116","S47656790","Hardhead","Aythya australis",578,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"117","S47913102","Hardhead","Aythya australis",578,"7","AU-NSW","Randwick",-33.8977058,151.2341452,"08-18-2018","10:32 AM","eBird - Traveling Count",124,1,4.75,NA,2,"","","",""
"118","S48037565","Hardhead","Aythya australis",578,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"08-24-2018","04:27 PM","eBird - Traveling Count",72,1,5,NA,2,"","","Was getting dark and started to rain but first buff banded rail!",""
"119","S48304612","Hardhead","Aythya australis",578,"40","AU-NSW","Randwick",-33.8977058,151.2341452,"09-05-2018","04:38 PM","eBird - Traveling Count",73,1,3.347,NA,2,"","","",""
"120","S48360609","Hardhead","Aythya australis",578,"3","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"121","S48451818","Hardhead","Aythya australis",578,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-12-2018","04:46 PM","eBird - Traveling Count",60,1,3,NA,2,"","","",""
"122","S48789620","Hardhead","Aythya australis",578,"15","AU-NSW","Randwick",-33.8977058,151.2341452,"09-28-2018","07:47 AM","eBird - Traveling Count",75,1,3.2,NA,1,"","","",""
"123","S48854501","Hardhead","Aythya australis",578,"10","AU-NSW","Randwick",-33.8977058,151.2341452,"10-01-2018","09:38 AM","eBird - Traveling Count",102,1,5.38,NA,2,"","","",""
"124","S48873741","Hardhead","Aythya australis",578,"15","AU-NSW","Randwick",-33.8977058,151.2341452,"10-02-2018","06:34 AM","eBird - Traveling Count",137,1,6.64,NA,1,"","","",""
"125","S42718633","Tufted Duck","Aythya fuligula",580,"1","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"126","S42718633","Common Merganser","Mergus merganser",646,"2","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"127","S47598669","duck sp.","Anatinae sp.",676,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"128","S48802995","Australian Brushturkey","Alectura lathami",678,"1","AU-NSW","Pittwater",-33.640824,151.3227204,"09-29-2018","08:26 AM","eBird - Stationary Count",6,1,NA,NA,1,"","","",""
"129","S39356631","Australian Brushturkey","Alectura lathami",678,"1","AU-NSW","Pittwater",-33.6472194,151.3243328,"09-24-2017","12:15 PM","eBird - Stationary Count",1,1,NA,NA,1,"","","",""
"130","S47611818","Brown Quail","Synoicus ypsilophorus",1162,"5","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"131","S48893823","Brown Quail","Synoicus ypsilophorus",1162,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"132","S42718633","Little Grebe","Tachybaptus ruficollis",1715,"4","JP-26","",35.0145327,135.7716072,"02-13-2018","08:40 AM","eBird - Traveling Count",35,1,0.8,NA,2,"","","",""
"133","S43151896","Australasian Grebe","Tachybaptus novaehollandiae",1727,"5","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
